"HLA"	"probe"	"probe.protein"	"probe.NA"	"probe.positive"	"probe.negative"	"beta"	"se"	"F"	"P"	"FDR"
"HLA_DQB1_0201"	"agilent_3967"	"tegument protein pp65 & 65 kDa lower matrix phosphoprotein & pp65 & HCMVUL83"	0	137	1300	-0.0207776352841775	0.217457625226657	-0.0955479729097605	0.923879587654346	0.991581712964603
"HLA_DQB1_0201"	"agilent_241737"	"VFG001151(gb|AAA20527) (hmw1A) adhesin HMW1A, two-partner secretion (TPS) pathway TpsA exoprotein [HMW1/HMW2 (VF0038)] [Haemophilus influenzae str. 12]"	0	146	1291	-0.397580304363791	0.224020307487465	-1.77475117690407	0.0759389810655786	0.602225665457215
"HLA_DQB1_0201"	"twist_36700"	"fibronectin-binding protein A"	0	150	1287	-0.149235514845969	0.216167563057223	-0.690369603724794	0.489961786766071	0.89832935100103
"HLA_DQB1_0201"	"agilent_222162"	"VFG000972(gb|NP_269972) (sic) inhibitor of complement-mediated lysis [SIC (VF0255)] [Streptococcus pyogenes M1 GAS]"	0	273	1164	0.161308860838899	0.148515957496228	1.08613824102367	0.277417835859326	0.807527931453262
"HLA_DQB1_0201"	"twist_53656"	"HCMVUL35"	0	188	1249	-0.261675918563169	0.199334509853698	-1.31274769609751	0.189267979871106	0.747311435303641
"HLA_DQB1_0201"	"twist_39713"	"phosphoprotein 150 & Large structural phosphoprotein"	0	153	1284	0.0728903227391983	0.196777943484671	0.370419171216089	0.711070191562268	0.95477808771002
"HLA_DQB1_0201"	"twist_27120"	"Glycoprotein B precursor & glycoprotein B (1/2)"	0	346	1091	-0.023807716053078	0.146471245206417	-0.16254191066326	0.870879127126084	0.983704957776746
"HLA_DQB1_0201"	"twist_66343"	"AFN38773.1 DhlB [Staphylococcus phage MSA6]"	0	63	1374	0.0099095917702229	0.315860423303131	0.0313733251750653	0.974971814102653	0.998814465795329
"HLA_DQB1_0201"	"agilent_112338"	"WP_011742922.1"	0	95	1342	-0.214535503911868	0.26661205083092	-0.804672944239574	0.421008436405152	0.874316172169068
"HLA_DQB1_0201"	"twist_99873"	"YP_001285556.1 gp66 [Escherichia virus TLS]"	0	235	1202	0.152339306807808	0.160113422654704	0.951446195340778	0.341377919385954	0.840363640016663
"HLA_DQB1_0201"	"twist_34744"	"zinc metalloproteinase aureolysin"	0	257	1180	-0.0740353113930061	0.160019252723566	-0.462665023944977	0.64360449236961	0.940104614320639
"HLA_DQB1_0201"	"twist_46768"	"EBNA3C latent protein [Human gammaherpesvirus 4] & EBNA-3C & Epstein-Barr nuclear antigen 6 & EBNA3C latent protein & EBNA3C nuclear protein [Human gammaherpesvirus 4] & nuclear antigen precursor & EBNA3C [Human gammaherpesvirus 4]"	0	71	1366	-0.124791527249231	0.295040920774544	-0.422963455108625	0.672321924496702	0.946524651249393
"HLA_DQB1_0201"	"agilent_235089"	"VFG001371(gb|NP_344885) (cps4G) capsular polysaccharide biosynthesis protein Cps4G [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4]"	0	70	1367	0.188408229268295	0.269916956369535	0.698022946770157	0.485162843693712	0.896798780915009
